name_linkedin,title,company,person_location,linkedin_url,source_linkedin,full_name_normalized,name_pubmed,paper_title,publication_year,source_pubmed
,,,,,,james w mitchell,James W Mitchell,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,jamieson d gray,Jamieson D Gray,Multiple sclerosis risk stratification and healthcare cost prediction using machine learning.,2025.0,PubMed
,,,,,,jamin c morrison,Jamin C Morrison,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
Jane Smith,Director of Toxicology,ABC Biotech,Cambridge MA,https://linkedin.com/in/janesmith,LinkedIn,jane smith,,,,
,,,,,,janin chandra,Janin Chandra,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,jared d huling,Jared D Huling,Counterfactual fairness for small subgroups.,2024.0,PubMed
,,,,,,jasmine j fagan,Jasmine J Fagan,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,jason wing hon wong,Jason Wing Hon Wong,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
,,,,,,jaxson nield,Jaxson Nield,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,jayce hughes,Jayce Hughes,Isoform-specific vs. pan-histone deacetylase inhibition as approaches for countering glioblastoma: an ,2025.0,PubMed
,,,,,,jeffrey o'callaghan,Jeffrey O'Callaghan,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,jeffrey v lazarus,Jeffrey V Lazarus,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,jennifer huggins,Jennifer Huggins,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
,,,,,,jennifer n choi,Jennifer N Choi,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,jenny kao-kniffin,Jenny Kao-Kniffin,Geno-pheno characterization of crop rhizospheres: an integrated Raman spectroscopy and microbiome approach in conventional and organic agriculture.,2025.0,PubMed
,,,,,,jens tidemandsen,Jens Tidemandsen,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed
,,,,,,jeroen briaire,Jeroen Briaire,Leveraging spatial cues from cochlear implant microphones to efficiently enhance speech separation in naturalistic listening scenes.,2025.0,PubMed
,,,,,,jeroen pollet,Jeroen Pollet,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
,,,,,,jesse m lewin,Jesse M Lewin,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,jessica koh,Jessica Koh,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,jessica tiv,Jessica Tiv,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,jia zhang,Jia Zhang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,jia-bin zheng,Jia-Bin Zheng,Efficacy and Safety of Different Types of Traditional Chinese Medicine Preparations Combined with EGFR-TKIs for Patients with Non-Small Cell Lung Cancer: A Network Meta-analysis.,2025.0,PubMed
,,,,,,jiahui wu,Jiahui Wu,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,jiali chen,Jiali Chen,Circadian disruption aggravates non-alcoholic fatty liver disease by activating RIPK1-RIPK3-MLKL axis in mice.,2025.0,PubMed
,,,,,,jian-chao peng,Jian-Chao Peng,"The Effects of Lead, Cadmium and Arsenic Exposure Alone or in Combination on Neurotoxicity Through Neural Signaling Pathways.",2025.0,PubMed
,,,,,,jianing wang,Jianing Wang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,jianmin lin,Jianmin Lin,Differential Functions of Membrane-bound and Soluble TNF-α in Regulating Trophoblasts Invasion and Migration.,2025.0,PubMed
,,,,,,jianqi zhang,Jianqi Zhang,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,jianrong gu,Jianrong Gu,Beyond existing rating scales: development of a novel nomogram for predicting severe clinical bleeding associated with low-molecular-weight heparin in hospitalized medical patients.,2025.0,PubMed
,,,,,,jiaqi zhu,Jiaqi Zhu,Accuracy of Augmented Reality Navigation Versus Freehand Pedicle Screw Placement.,2025.0,PubMed
,,,,,,jiayi huang,Jiayi Huang,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
,,,,,,jiayin huang,Jiayin Huang,The mechanism of CISD3 regulating NRF2-ATP7B to ameliorate alcohol-induced liver mitochondrial dysfunction and cuproptosis.,2025.0,PubMed
,,,,,,jiayou chen,Jiayou Chen,Case Report: Nursing strategies for colon cancer surgery in third-trimester pregnancy.,2025.0,PubMed
,,,,,,jiazheng jin,Jiazheng Jin,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,jin li,Jin Li,The ameliorative effects of fermented Chinese herbal medicine on growth inhibition and liver damage induced by manganese exposure in largemouth bass (Micropterus salmoides).,2025.0,PubMed
,,,,,,jing wu,Jing Wu,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
,,,,,,jing xie,Jing Xie,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,jing zhou,Jing Zhou,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
,,,,,,jinkun han,Jinkun Han,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
,,,,,,jinping wang,Jinping Wang,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,jinqiao yue,Jinqiao Yue,Integrated network pharmacology and experimental validation reveal ,2025.0,PubMed
,,,,,,jintao xuan,Jintao Xuan,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
,,,,,,jinyong wang,Jinyong Wang,The mechanism of CISD3 regulating NRF2-ATP7B to ameliorate alcohol-induced liver mitochondrial dysfunction and cuproptosis.,2025.0,PubMed
,,,,,,johan h m frijns,Johan H M Frijns,Leveraging spatial cues from cochlear implant microphones to efficiently enhance speech separation in naturalistic listening scenes.,2025.0,PubMed
,,,,,,john hooper,John Hooper,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,john p sfakianos,John P Sfakianos,A systematic review of gene-mediated therapy in BCG-unresponsive NMIBC: emerging evidence and future perspectives.,2025.0,PubMed
,,,,,,jonathan g stine,Jonathan G Stine,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,jorge hernandez-bello,Jorge Hernandez-Bello,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
,,,,,,jorge luis folch-mallol,Jorge Luis Folch-Mallol,,2025.0,PubMed
,,,,,,joseph drinkard,Joseph Drinkard,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed
,,,,,,joseph drinkard,Joseph Drinkard,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,joshua kallen,Joshua Kallen,GLP-1 receptor agonists and TIPS: A word of caution.,2025.0,PubMed
,,,,,,josé francisco muñoz-valle,José Francisco Muñoz-Valle,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
,,,,,,joyce m c teng,Joyce M C Teng,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,ju-hyeong park,Ju-Hyeong Park,Sterile Inflammation in Mouse Lung Driven by Lipid Mediator Pathways Following MWCNT Exposure.,2025.0,PubMed
,,,,,,juan emilio miralles-sanchez,Juan Emilio Miralles-Sanchez,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,juan pablo arab,Juan Pablo Arab,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,judy n vu,Judy N Vu,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed
,,,,,,julia papenkort,Julia Papenkort,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,julian wolfson,Julian Wolfson,Counterfactual fairness for small subgroups.,2024.0,PubMed
,,,,,,juliane schneider,Juliane Schneider,"Serial cerebral magnetic resonance imaging before and after birth in patients with complex congenital heart disease - a prospective, multicentre observational study.",2025.0,PubMed
,,,,,,julie digne,Julie Digne,Topological Autoencoders++: Fast and Accurate Cycle-Aware Dimensionality Reduction.,2025.0,PubMed
,,,,,,julien tierny,Julien Tierny,Topological Autoencoders++: Fast and Accurate Cycle-Aware Dimensionality Reduction.,2025.0,PubMed
,,,,,,jun zhang,Jun Zhang,Salidroside alleviates early-stage MASH through the PPARγ-mediated inflammatory signaling pathway.,2025.0,PubMed
,,,,,,jun-yue zhang,Jun-Yue Zhang,Efficacy and Safety of Different Types of Traditional Chinese Medicine Preparations Combined with EGFR-TKIs for Patients with Non-Small Cell Lung Cancer: A Network Meta-analysis.,2025.0,PubMed
,,,,,,jérémie sellam,Jérémie Sellam,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,jérôme foucaud,Jérôme Foucaud,Challenges and prospects for research into health promotion in schools and the fight against cancers.,2025.0,PubMed
,,,,,,jörn m schattenberg,Jörn M Schattenberg,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,kaisin yee,Kaisin Yee,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,kaitlyn lapen,Kaitlyn Lapen,"Hematologic Malignancies Among Adults in Southeast Asia: Incidence, Mortality, and Regional Contexts.",2025.0,PubMed
,,,,,,karolina kublickiene,Karolina Kublickiene,"""You just forget about preeclampsia and move on"" -awareness of chronic disease risks and follow-up preferences after preeclampsia in Ireland: a national qualitative study.",2025.0,PubMed
,,,,,,kasper aanæs,Kasper Aanæs,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed
,,,,,,katarzyna michel,Katarzyna Michel,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,kate seman,Kate Seman,Persistent Impact of In Utero Nanoparticle Exposure on Metabolic and Endocrine Outcomes in Adult Rats Fed a High-Fat Diet.,2025.0,PubMed
,,,,,,kathleen bogart,Kathleen Bogart,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,kathryn s lilley,Kathryn S Lilley,Semi-supervised Bayesian integration of multiple spatial proteomics datasets.,2025.0,PubMed
,,,,,,kathy pham,Kathy Pham,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,2025.0,PubMed
,,,,,,kazi anisha islam,Kazi Anisha Islam,Tertiary lymphoid structure-related RNA indicator as metastasis risk factor in nasopharyngeal carcinoma.,2025.0,PubMed
,,,,,,keiichi i nakayama,Keiichi I Nakayama,Iron and bile acids synergize to exacerbate congenital cholestatic liver injury via ferroptosis.,2025.0,PubMed
,,,,,,kelly aparecida dias,Kelly Aparecida Dias,Impact of anthocyanin-rich fruits on the modulation of inflammation and oxidative stress in the gut-liver axis: a systematic review of ,2025.0,PubMed
,,,,,,kelu xu,Kelu Xu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,kenika sharma,Kenika Sharma,Unveiling Indazole: Novel Synthetic Pathways and Biological Potentials.,2025.0,PubMed
,,,,,,kette valente,Kette Valente,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,keying li,Keying Li,Drp1 Interaction with BIP Maintains Mitochondrial Dynamic Equilibrium to Promote Anoikis Resistance and Metastasis in Nasopharyngeal Carcinoma.,2025.0,PubMed
,,,,,,khaled elfert,Khaled Elfert,Safety and Outcomes of Endoscopic and Radiologic Guided Placement of Percutaneous Gastrostomy Tube: A US Collaborative Network Study.,2025.0,PubMed
,,,,,,kheng seang lim,Kheng Seang Lim,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,kiki van der heijden,Kiki van der Heijden,Leveraging spatial cues from cochlear implant microphones to efficiently enhance speech separation in naturalistic listening scenes.,2025.0,PubMed
,,,,,,kim bridle,Kim Bridle,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,kira s makarova,Kira S Makarova,Spatial-temporal genome analysis and its application for the prediction of functional systems in bacteria and archaea.,2025.0,PubMed
,,,,,,kishwer s nehal,Kishwer S Nehal,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,klara mosterd,Klara Mosterd,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,kollencheri puthenveettil vinayan,Kollencheri Puthenveettil Vinayan,Methodologies for developing and applying consensus-based recommendations in epilepsy care: A narrative review.,2025.0,PubMed
,,,,,,korkut uygun,Korkut Uygun,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,kristen stashek,Kristen Stashek,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,krunal patel,Krunal Patel,Accuracy of Foundation Artificial Intelligence Models for Hepatic Macrovesicular Steatosis Quantification in Frozen Sections.,2025.0,PubMed
,,,,,,ksenia klimina,Ksenia Klimina,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,kylie d dufrene,Kylie D Dufrene,Efficacy and Emerging Role of Erector Spinae Plane Block for Pain Management during Labor.,2025.0,PubMed
,,,,,,landyn johnson,Landyn Johnson,Efficacy and Emerging Role of Suprascapular Nerve Block for Pain Management after Shoulder Surgeries.,2025.0,PubMed
,,,,,,lara berklite,Lara Berklite,Hepatic Manifestations in Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,2025.0,PubMed
,,,,,,lashith wickramasuriya,Lashith Wickramasuriya,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,laurence weiss,Laurence Weiss,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,laurent sailler,Laurent Sailler,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,lei dai,Lei Dai,Intratumoral microbiome: a crucial regulating factor in development and progression of colorectal cancer.,2025.0,PubMed
,,,,,,leila jafari khouzani,Leila Jafari Khouzani,Enhancing drug repositioning: A multi-class ensemble model for drug-target interaction prediction with action type categorization.,2025.0,PubMed
,,,,,,leire agirre-garrido,Leire Agirre-Garrido,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,leo hans bühler,Leo Hans Bühler,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,leon c lahaye,Leon C LaHaye,The Efficacy and Safety of Serratus Anterior Plane Block for Pain Management in Patients with Rib Fractures: a Narrative Review.,2025.0,PubMed
,,,,,,leonard goldberg,Leonard Goldberg,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,leontine sandforth,Leontine Sandforth,Prediabetes remission and cardiovascular morbidity and mortality: post-hoc analyses from the Diabetes Prevention Program Outcome study and the DaQing Diabetes Prevention Outcome study.,2025.0,PubMed
,,,,,,levent filik,Levent Filik,Investigation of Clinical and Laboratory Findings of 40-49-Year-Old Patients with Fatty Pancreas by Magnetic Resonance Imaging and Evaluation of the Potential Relationship with Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD).,2025.0,PubMed
,,,,,,lez burke,Lez Burke,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,li jiang,Li Jiang,The ameliorative effects of fermented Chinese herbal medicine on growth inhibition and liver damage induced by manganese exposure in largemouth bass (Micropterus salmoides).,2025.0,PubMed
,,,,,,liang liu,Liang Liu,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,liang wang,Liang Wang,Circadian disruption aggravates non-alcoholic fatty liver disease by activating RIPK1-RIPK3-MLKL axis in mice.,2025.0,PubMed
,,,,,,lianghui chen,Lianghui Chen,The application of RPA-PfAgo technology combined with multidimensional data analysis in the rapid detection of the MTHFR A1298C polymorphism.,2025.0,PubMed
,,,,,,lianying wu,Lianying Wu,Multi-Omics and Integrative Analytics in Natural Products Discovery.,2025.0,PubMed
,,,,,,lili bao,Lili Bao,Drp1 Interaction with BIP Maintains Mitochondrial Dynamic Equilibrium to Promote Anoikis Resistance and Metastasis in Nasopharyngeal Carcinoma.,2025.0,PubMed
,,,,,,lili pan,Lili Pan,,2025.0,PubMed
,,,,,,lindsay m squeglia,Lindsay M Squeglia,Fostering Long-Term International Collaborations Through Short-Term Exchange Programs for Early Career Addiction Researchers.,2025.0,PubMed
,,,,,,ling chen,Ling Chen,Insulin-like growth factor 2 alleviates metabolic inflammation and associated cognitive impairment in diet-induced obesity mice.,2025.0,PubMed
,,,,,,linlin zhou,Linlin Zhou,,2025.0,PubMed
,,,,,,lisa breckels,Lisa Breckels,Semi-supervised Bayesian integration of multiple spatial proteomics datasets.,2025.0,PubMed
,,,,,,lisa m arkin,Lisa M Arkin,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,loeïza rault,Loeïza Rault,Development of a competition assay to assess the in vitro fitness of dengue virus serotypes using an optimized serotype-specific qRT-PCR.,2025.0,PubMed
,,,,,,lorena rigo gaspar,Lorena Rigo Gaspar,Optimizing photopollution assessment: Insights from a reconstructed human epidermis model.,2025.0,PubMed
,,,,,,lorenzo salmoni,Lorenzo Salmoni,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,loreta a kondili,Loreta A Kondili,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,louise mewton,Louise Mewton,Fostering Long-Term International Collaborations Through Short-Term Exchange Programs for Early Career Addiction Researchers.,2025.0,PubMed
,,,,,,loïc van dieren,Loïc Van Dieren,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,lu cao,Lu Cao,An α-specific PI3K inhibitor improves chemotherapy efficacy by inhibiting hepatic stellate cell activation in liver cancer.,2025.0,PubMed
,,,,,,lucie vignot,Lucie Vignot,IL-6/GP130/JAK/STAT3 Pathway Activation in Pancreatic Ductal Adenocarcinoma and Its Association With Clinical Features: Protocol for a Retrospective Cross-Sectional Study.,2025.0,PubMed
,,,,,,lucile cabanel,Lucile Cabanel,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,ludmilla tonani,Ludmilla Tonani,Optimizing photopollution assessment: Insights from a reconstructed human epidermis model.,2025.0,PubMed
,,,,,,luis antonio diaz,Luis Antonio Diaz,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,luis fernando lópez-lara,Luis Fernando López-Lara,Liposomal nanomedicine in Cancer therapy: advances in drug delivery.,2025.0,PubMed
,,,,,,luis seabra,Luis Seabra,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,lukas moesgaard,Lukas Moesgaard,The Global Airways in Practice: Long-term Effects of Mepolizumab With or Without FESS on Type 2 Inflammation in Patients With CRSwNP.,2025.0,PubMed
,,,,,,lukasz s wylezinski,Lukasz S Wylezinski,Multiple sclerosis risk stratification and healthcare cost prediction using machine learning.,2025.0,PubMed
,,,,,,lushuai jin,Lushuai Jin,Organ-specific delivery of an mRNA-encoded bispecific T cell engager targeting glypican-3 in hepatocellular carcinoma.,2025.0,PubMed
,,,,,,luyuan guo,Luyuan Guo,Integrated network pharmacology and experimental validation reveal ,2025.0,PubMed
,,,,,,lívia carvalho sette abrantes,Lívia Carvalho Sette Abrantes,Impact of anthocyanin-rich fruits on the modulation of inflammation and oxidative stress in the gut-liver axis: a systematic review of ,2025.0,PubMed
,,,,,,lívya alves oliveira,Lívya Alves Oliveira,Impact of anthocyanin-rich fruits on the modulation of inflammation and oxidative stress in the gut-liver axis: a systematic review of ,2025.0,PubMed
,,,,,,madoka matsuya,Madoka Matsuya,Hemostasis and life-saving by arterial embolization for a rupture of hepatic metastasis from choriocarcinoma after initiation of EMA/CO therapy: a case report and literature review.,2025.0,PubMed
,,,,,,maha m azzam,Maha M Azzam,Ketogenic diet attenuates high fat diet induced obesity in rats: insights into hepatic and intestinal tissues.,2025.0,PubMed
,,,,,,mahmoud abdelnaser,Mahmoud Abdelnaser,Apremilast ameliorates methotrexate-induced renal injury in rats: role of TLR4/NF-κB/P38 MAPK/caspase-3 and Nrf2/HO-1 signaling pathways.,2025.0,PubMed
,,,,,,maja malakhova,Maja Malakhova,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,malak jaber,Malak Jaber,Effect of single binge alcohol consumption on alcohol-naïve and -exposed drinking mouse models.,2025.0,PubMed
,,,,,,mamoon ur rasheed,Mamoon Ur Rasheed,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,manuel r sanchez,Manuel R Sanchez,Spatial Molecular Imaging of the Glycome Using Mass Spectrometry.,2025.0,PubMed
,,,,,,marc j zuckerman,Marc J Zuckerman,Safety and Outcomes of Endoscopic and Radiologic Guided Placement of Percutaneous Gastrostomy Tube: A US Collaborative Network Study.,2025.0,PubMed
,,,,,,marcel van gerven,Marcel van Gerven,Leveraging spatial cues from cochlear implant microphones to efficiently enhance speech separation in naturalistic listening scenes.,2025.0,PubMed
,,,,,,marcela a cucher,Marcela A Cucher,Detection of Echinococcus granulosus sensu lato microRNAs in cystic echinococcosis patients: An exploratory study using quantitative PCR and digital PCR.,2025.0,PubMed
,,,,,,marcela villota-rivas,Marcela Villota-Rivas,Best buys for metabolic dysfunction-associated steatotic liver disease and metabolic dysfunction-associated steatohepatitis: a global Delphi study.,2025.0,PubMed
,,,,,,marcia regina von zeska kress,Marcia Regina von Zeska Kress,Optimizing photopollution assessment: Insights from a reconstructed human epidermis model.,2025.0,PubMed
,,,,,,marco gattorno,Marco Gattorno,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,margarita shleeva,Margarita Shleeva,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,maria da graça landim bravo,Maria da Graça Landim Bravo,Optimizing photopollution assessment: Insights from a reconstructed human epidermis model.,2025.0,PubMed
,,,,,,maria elena bottazzi,Maria Elena Bottazzi,mRNA vaccines encoding variant forms of Sm-TSP-2 confer protective immunity against Schistosoma mansoni.,2025.0,PubMed
,,,,,,maria kornienko,Maria Kornienko,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,maria stanzione,Maria Stanzione,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,maria tsoukas,Maria Tsoukas,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,mariantonietta pisaturo,Mariantonietta Pisaturo,Impact of HDV infection on post-transplant outcomes in patients transplanted for HBV-related liver disease: results from a multicenter cohort study in Southern Italy.,2025.0,PubMed
,,,,,,marie wislez,Marie Wislez,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,marie-louise frémond,Marie-Louise Frémond,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,marina zaychikova,Marina Zaychikova,Mycobacteriophage Yasnaya_Polyana and its engineered lytic derivative: specificity of regulatory motifs and lytic potential.,2025.0,PubMed
,,,,,,mario iza-arteaga,Mario Iza-Arteaga,,2025.0,PubMed
,,,,,,mark a randolph,Mark A Randolph,Establishing a Swine Model to Study Whole Eye Transplant Dynamic Preservation and Transplantation.,2025.0,PubMed
,,,,,,mark cahill,Mark Cahill,Automated Assessment of Retinal Vascular Integrity Across Species.,2025.0,PubMed
,,,,,,markus a rose,Markus A Rose,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,martin wetzke,Martin Wetzke,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,mary brennan,Mary Brennan,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
,,,,,,mary e lohman,Mary E Lohman,Clinical practice guidelines for the management of basal cell carcinoma in Gorlin syndrome.,2025.0,PubMed
,,,,,,maryam aftab,Maryam Aftab,Development and Characterization of Dual-Functional Polymeric Hydrogels: A Sustainable Approach for Drug Delivery and Antimicrobial Applications.,2025.0,PubMed
,,,,,,maría luisa matoses ruipérez,María Luisa Matoses Ruipérez,Insights from a novel monogenic autoinflammatory disease: overview of a multicentric European cohort of 38 patients with COPA syndrome.,2025.0,PubMed
